"","group","subject_id","activity","observation_type","mean","mean_of_sd"
"1","test",2,"LAYING","body_acc_x",0.000782620459907878,0.0098467393932228
"2","test",2,"LAYING","body_acc_y",-0.000535310148371875,0.00510277494154364
"3","test",2,"LAYING","body_acc_z",0.00035083131030599,0.00586136617818346
"4","test",2,"LAYING","body_gyro_x",0.00948662885829163,0.0119088920333111
"5","test",2,"LAYING","body_gyro_y",-0.0169135999761123,0.0155671989615223
"6","test",2,"LAYING","body_gyro_z",0.0259136753102604,0.0214119134308631
"7","test",2,"LAYING","total_acc_x",-0.0240110246144531,0.0057837440970888
"8","test",2,"LAYING","total_acc_y",0.769108206608073,0.00411191445115856
"9","test",2,"LAYING","total_acc_z",0.630486895328776,0.00497193177537168
"10","test",2,"SITTING","body_acc_x",-0.000100652413850713,0.00570006599370221
"11","test",2,"SITTING","body_acc_y",0.000760627952901495,0.0101547066930396
"12","test",2,"SITTING","body_acc_z",-0.000300818998898777,0.0102503102228301
"13","test",2,"SITTING","body_gyro_x",-0.0183536569299141,0.0141148265038151
"14","test",2,"SITTING","body_gyro_y",0.0065063506496678,0.0181485853726156
"15","test",2,"SITTING","body_gyro_z",-0.0199630489963625,0.0216553942595138
"16","test",2,"SITTING","total_acc_x",1.00072676413043,0.00364126414634849
"17","test",2,"SITTING","total_acc_y",-0.0866806083192255,0.0071245124028211
"18","test",2,"SITTING","total_acc_z",0.189468410155231,0.00702011215490257
"19","test",2,"STANDING","body_acc_x",6.91830141262442e-05,0.00555398629324167
"20","test",2,"STANDING","body_acc_y",-0.000672778292970197,0.00902714663922681
"21","test",2,"STANDING","body_acc_z",0.000792520785668692,0.0120642036221216
"22","test",2,"STANDING","body_gyro_x",0.00393201028634795,0.0252118750798988
"23","test",2,"STANDING","body_gyro_y",-0.0034766182422254,0.0238727618319271
"24","test",2,"STANDING","body_gyro_z",0.000664936673678241,0.0192087405353638
"25","test",2,"STANDING","total_acc_x",0.970098432566551,0.00469182515035936
"26","test",2,"STANDING","total_acc_y",-0.352213310112847,0.0075230827390029
"27","test",2,"STANDING","total_acc_z",0.122773797442708,0.00848131413342389
"28","test",2,"WALKING","body_acc_x",-0.000236823526445975,0.188678607759782
"29","test",2,"WALKING","body_acc_y",-0.0007640919728125,0.159223036474717
"30","test",2,"WALKING","body_acc_z",0.000927358610169756,0.106385882218855
"31","test",2,"WALKING","body_gyro_x",-0.0261456554122987,0.383504266451495
"32","test",2,"WALKING","body_gyro_y",0.0117845148574828,0.355332679945745
"33","test",2,"WALKING","body_gyro_z",-0.00154868120596663,0.25345015970436
"34","test",2,"WALKING","total_acc_x",0.981170597153072,0.188328319595238
"35","test",2,"WALKING","total_acc_y",-0.328878587927701,0.158733275151833
"36","test",2,"WALKING","total_acc_z",0.0786663049567929,0.105553809812103
"37","test",2,"WALKING_DOWNSTAIRS","body_acc_x",8.15666749335119e-06,0.341385987338924
"38","test",2,"WALKING_DOWNSTAIRS","body_acc_y",-0.00289702140073138,0.217471386768029
"39","test",2,"WALKING_DOWNSTAIRS","body_acc_z",-0.00280964498676695,0.164368852531311
"40","test",2,"WALKING_DOWNSTAIRS","body_gyro_x",-0.0910397032603723,0.593160810128313
"41","test",2,"WALKING_DOWNSTAIRS","body_gyro_y",0.031386088491999,0.449272731386614
"42","test",2,"WALKING_DOWNSTAIRS","body_gyro_z",0.00479812537430186,0.351097151337718
"43","test",2,"WALKING_DOWNSTAIRS","total_acc_x",0.945216230834442,0.340525652499106
"44","test",2,"WALKING_DOWNSTAIRS","total_acc_y",-0.310210784831449,0.216260901216394
"45","test",2,"WALKING_DOWNSTAIRS","total_acc_z",-0.0514648999197763,0.162304987785511
"46","test",2,"WALKING_UPSTAIRS","body_acc_x",-0.00626711601526693,0.227428597731043
"47","test",2,"WALKING_UPSTAIRS","body_acc_y",-0.00224174608150846,0.191017624067003
"48","test",2,"WALKING_UPSTAIRS","body_acc_z",-0.0146031169508174,0.16269940599083
"49","test",2,"WALKING_UPSTAIRS","body_gyro_x",-0.0309573604757487,0.490001601715019
"50","test",2,"WALKING_UPSTAIRS","body_gyro_y",0.0190761039483724,0.410568810200016
"51","test",2,"WALKING_UPSTAIRS","body_gyro_z",-0.007743288215625,0.406984635848773
"52","test",2,"WALKING_UPSTAIRS","total_acc_x",0.888648334407552,0.226144867715474
"53","test",2,"WALKING_UPSTAIRS","total_acc_y",-0.399876286108333,0.188107185987623
"54","test",2,"WALKING_UPSTAIRS","total_acc_z",-0.212631736700791,0.160406577528359
"55","test",4,"LAYING","body_acc_x",-0.00288854068113092,0.016301167906698
"56","test",4,"LAYING","body_acc_y",0.00111981931737066,0.0116905445540906
"57","test",4,"LAYING","body_acc_z",-0.000786379090290509,0.00973972723719199
"58","test",4,"LAYING","body_gyro_x",0.0190214931005991,0.0251214912678451
"59","test",4,"LAYING","body_gyro_y",-0.0084309319287338,0.0317826221694184
"60","test",4,"LAYING","body_gyro_z",0.0369065337980098,0.020556240524842
"61","test",4,"LAYING","total_acc_x",0.0353230278877633,0.00716388228582846
"62","test",4,"LAYING","total_acc_y",0.933186772265625,0.00898748158224059
"63","test",4,"LAYING","total_acc_z",0.329320376856192,0.00842137146289777
"64","test",4,"SITTING","body_acc_x",-0.00124420927322266,0.00781594562106075
"65","test",4,"SITTING","body_acc_y",0.00523206258104813,0.0204865807505306
"66","test",4,"SITTING","body_acc_z",0.000803732618706563,0.0152183364955828
"67","test",4,"SITTING","body_gyro_x",-0.0224510501899384,0.0277083407852219
"68","test",4,"SITTING","body_gyro_y",-0.00681333953868094,0.0338044839281327
"69","test",4,"SITTING","body_gyro_z",0.00655809741564375,0.0370681579341728
"70","test",4,"SITTING","total_acc_x",0.94924790875,0.00618203882867003
"71","test",4,"SITTING","total_acc_y",0.23464342302567,0.0141956565373136
"72","test",4,"SITTING","total_acc_z",0.10349738955,0.0116428210405499
"73","test",4,"STANDING","body_acc_x",0.000602576299563616,0.00891715495301658
"74","test",4,"STANDING","body_acc_y",0.00401202160235073,0.0253768567076598
"75","test",4,"STANDING","body_acc_z",0.00401368576647573,0.0215706226188622
"76","test",4,"STANDING","body_gyro_x",-0.00306316049434152,0.080343278364273
"77","test",4,"STANDING","body_gyro_y",0.00565024138079074,0.0408786066128404
